['media_451348_frame_779.jpeg', '0.321216617210683', '0.397891963109354', '0.0652818991097923', '0.100131752305666', 'Poecilosclerida']
['media_451335_frame_2773.jpeg', '0.612759643916914', '0.430830039525692', '0.136498516320474', '0.206851119894598', 'Parazoanthidae']
['media_450658_frame_7702.jpeg', '', '', '', '', 'Euryalidae']
['media_451523_frame_4495.jpeg', '', '', '', '', 'Chrysogorgia geniculata']
['media_451523_frame_3086.jpeg', '0.644658753709198', '0.462450592885376', '0.12833827893175', '0.339920948616601', 'Parazoanthidae']
['media_451332_frame_6623.jpeg', '', '', '', '', 'Keratoisidinae']
['media_447680_frame_4430.jpeg', '0.313669943125619', '0.0158102766798423', '0.543896822453017', '0.378129117259552', 'Ophidiidae']
['media_450656_frame_4391.jpeg', '0.833086053412463', '0.268774703557313', '0.0459940652818992', '0.176548089591568', 'Parazoanthidae']
['media_447680_frame_8151.jpeg', '', '', '', '', 'Comatulida']
['media_447680_frame_5027.jpeg', '0.50593471810089', '0.337285902503294', '0.086053412462908', '0.317523056653492', 'Ophidiidae']
['media_450655_frame_5274.jpeg', '0.0286103542234332', '0.465454545454546', '0.0919618528610354', '0.250909090909091', 'narella sp.']
['media_450655_frame_2877.jpeg', '', '', '', '', 'Trissopathes sp.']
['media_450654_frame_2577.jpeg', '0.228201634877384', '0.258181818181818', '0.189373297002725', '0.616969696969697', 'narella sp.']
['media_447858_frame_4225.jpeg', '0.517113034472006', '0.592830119375574', '0.0248953143909302', '0.0619136822773186', 'narella sp.']
['media_450651_frame_4495.jpeg', '', '', '', '', 'Ophiocreas oedipus']
['media_447678_frame_3536.jpeg', '', '', '', '', 'Calyptrophora angularis']
['media_450650_frame_569.jpeg', '', '', '', '', 'Trissopathes sp.']
['media_450648_frame_5814.jpeg', '', '', '', '', 'Acanthogorgia sp.']
['media_451474_frame_569.jpeg', '0.240929858135021', '0.415543438394016', '0.0380097908447504', '0.0582380091456946', 'narella sp.']
['media_451474_frame_569.jpeg', '0.224727459248345', '0.48511027602549', '0.035169514554583', '0.0378404771111086', 'narella sp.']
['media_451474_frame_1468.jpeg', '0.144203034781793', '0.391272268156015', '0.0348976762697931', '0.0863611495937371', 'narella sp.']
['media_451474_frame_1468.jpeg', '0.262761158389558', '0.532951283964675', '0.0300068443241604', '0.0629648595076583', 'narella sp.']
['media_451474_frame_2787.jpeg', '0.285357523135847', '0.235970078752636', '0.0163599866839566', '0.0630418897671395', 'narella sp.']
['media_451474_frame_2787.jpeg', '0.395524834870475', '0.124252937503448', '0.0110391537860911', '0.0789046326411851', 'narella sp.']
['media_451474_frame_8575.jpeg', '0.94146262886598', '0.105563098740288', '0.0561945160366549', '0.0856622916195217', 'narella sp.']
['media_451447_frame_3356.jpeg', '0.474226804123711', '0.668024439918534', '0.111189862542955', '0.265297578637701', 'narella alata']
